,date,time,temp,hum,wind,condition
0,1/42022,1:00 AM,61,94,14,Partly Cloudy
1,1/42022,2:00 AM,61,94,12,Partly Cloudy
2,1/42022,3:00 AM,61,94,14,Partly Cloudy
3,1/42022,4:00 AM,61,94,10,Partly Cloudy
4,1/42022,5:00 AM,61,94,9,Partly Cloudy
5,1/42022,6:00 AM,61,88,8,Partly Cloudy
6,1/42022,7:00 AM,63,82,14,Cloudy
7,1/42022,8:00 AM,61,82,14,Partly Cloudy
8,1/42022,9:00 AM,63,77,12,Mostly Cloudy
9,1/42022,10:00 AM,64,73,18,Mostly Cloudy
10,1/42022,11:00 AM,66,56,21,Mostly Cloudy / Windy
11,1/42022,12:00 PM,68,52,16,Mostly Cloudy
12,1/42022,1:00 PM,72,43,16,Fair
13,1/42022,2:00 PM,73,38,17,Fair
14,1/42022,3:00 PM,75,36,15,Fair
15,1/42022,4:00 PM,73,47,24,Fair / Windy
16,1/42022,5:00 PM,72,50,23,Fair / Windy
17,1/42022,6:00 PM,72,46,20,Fair
18,1/42022,7:00 PM,70,49,20,Fair
19,1/42022,8:00 PM,66,56,17,Fair
20,1/42022,9:00 PM,64,64,15,Fair
21,1/42022,10:00 PM,63,72,14,Partly Cloudy
22,1/42022,11:00 PM,63,72,14,Mostly Cloudy
23,1/42022,12:00 AM,63,72,15,Mostly Cloudy
24,2/42022,1:00 AM,61,77,14,Mostly Cloudy
25,2/42022,2:00 AM,61,77,13,Partly Cloudy
26,2/42022,3:00 AM,59,88,8,Fair
27,2/42022,4:00 AM,57,94,7,Fair
28,2/42022,5:00 AM,57,94,3,Partly Cloudy
29,2/42022,6:00 AM,59,94,5,Partly Cloudy
30,2/42022,7:00 AM,61,82,9,Partly Cloudy
31,2/42022,8:00 AM,59,88,8,Partly Cloudy
32,2/42022,10:00 AM,63,72,5,Mostly Cloudy
33,2/42022,11:00 AM,66,60,5,Partly Cloudy
34,2/42022,12:00 PM,70,49,7,Fair
35,2/42022,1:00 PM,70,49,7,Fair
36,2/42022,2:00 PM,72,50,10,Fair
37,2/42022,3:00 PM,72,46,13,Fair
38,2/42022,4:00 PM,70,49,13,Fair
39,2/42022,5:00 PM,70,49,13,Fair
40,2/42022,6:00 PM,68,60,14,Fair
41,2/42022,7:00 PM,68,60,13,Fair
42,2/42022,8:00 PM,64,73,10,Fair
43,2/42022,9:00 PM,63,77,10,Fair
44,2/42022,10:00 PM,63,77,6,Fair
45,2/42022,11:00 PM,61,82,3,Fair
46,2/42022,12:00 AM,59,82,1,Fair
47,3/42022,1:00 AM,59,88,3,Fair
48,3/42022,2:00 AM,57,94,3,Fair
49,3/42022,3:00 AM,57,94,6,Partly Cloudy
50,3/42022,4:00 AM,55,100,6,Partly Cloudy
