,date,time,temp,hum,wind,condition
0,1/32022,12:00 AM,63,94,16,Partly Cloudy
1,1/32022,1:00 AM,63,88,17,Partly Cloudy
2,1/32022,2:00 AM,61,94,15,Partly Cloudy
3,1/32022,3:00 AM,61,100,14,Mostly Cloudy
4,1/32022,5:00 AM,63,100,16,Mostly Cloudy
5,1/32022,6:00 AM,63,100,17,Mostly Cloudy
6,1/32022,7:00 AM,61,100,16,Mostly Cloudy
7,1/32022,8:00 AM,63,0,16,Cloudy
8,1/32022,9:00 AM,63,100,16,Mostly Cloudy
9,1/32022,10:00 AM,64,94,13,Mostly Cloudy
10,1/32022,11:00 AM,64,94,23,Mostly Cloudy / Windy
11,1/32022,12:00 PM,68,83,22,Mostly Cloudy / Windy
12,1/32022,1:00 PM,68,78,21,Mostly Cloudy / Windy
13,1/32022,2:00 PM,70,73,18,Mostly Cloudy
14,1/32022,3:00 PM,72,60,22,Partly Cloudy / Windy
15,1/32022,4:00 PM,72,57,25,Fair / Windy
16,1/32022,5:00 PM,73,53,25,Fair / Windy
17,1/32022,6:00 PM,72,57,22,Fair / Windy
18,1/32022,7:00 PM,70,60,20,Fair
19,1/32022,8:00 PM,66,78,23,Fair / Windy
20,1/32022,9:00 PM,64,94,20,Partly Cloudy
21,1/32022,10:00 PM,63,100,18,Partly Cloudy
22,1/32022,11:00 PM,63,100,17,Partly Cloudy
23,3/32022,12:00 AM,59,100,13,Fair
24,3/32022,1:00 AM,59,100,13,Partly Cloudy
25,3/32022,2:00 AM,59,100,13,Fair
26,3/32022,3:00 AM,59,100,16,Fair
27,3/32022,4:00 AM,59,94,14,Fair
28,3/32022,5:00 AM,57,100,14,Fair
29,3/32022,6:00 AM,57,100,13,Fair
30,3/32022,7:00 AM,57,100,10,Fair
31,3/32022,8:00 AM,57,100,9,Fair
32,3/32022,9:00 AM,57,100,9,Fair
33,3/32022,10:00 AM,63,88,14,Fair
34,3/32022,11:00 AM,66,73,21,Fair / Windy
35,3/32022,12:00 PM,70,60,21,Fair / Windy
36,3/32022,1:00 PM,72,50,18,Fair
37,3/32022,2:00 PM,73,44,15,Partly Cloudy
38,3/32022,3:00 PM,75,41,17,Partly Cloudy
39,3/32022,4:00 PM,73,44,16,Fair
40,3/32022,5:00 PM,72,50,25,Fair / Windy
41,3/32022,6:00 PM,70,53,22,Fair / Windy
42,3/32022,7:00 PM,68,56,23,Fair / Windy
43,3/32022,8:00 PM,64,68,17,Fair
44,3/32022,9:00 PM,63,77,14,Partly Cloudy
45,3/32022,10:00 PM,63,77,14,Mostly Cloudy
46,3/32022,11:00 PM,61,88,14,Mostly Cloudy
47,6/32022,12:00 AM,61,72,32,Partly Cloudy / Windy
48,6/32022,1:00 AM,61,72,23,Cloudy / Windy
49,6/32022,2:00 AM,61,72,18,Mostly Cloudy
50,6/32022,3:00 AM,61,72,18,Mostly Cloudy
51,6/32022,4:00 AM,61,68,23,Cloudy / Windy
52,6/32022,5:00 AM,61,68,18,Cloudy
53,6/32022,6:00 AM,61,63,16,Cloudy
54,6/32022,7:00 AM,61,63,16,Cloudy
55,6/32022,8:00 AM,61,63,16,Mostly Cloudy
56,6/32022,9:00 AM,61,63,12,Mostly Cloudy
57,6/32022,10:00 AM,63,55,16,Mostly Cloudy
58,6/32022,11:00 AM,66,49,16,Partly Cloudy
59,6/32022,12:00 PM,66,56,18,Mostly Cloudy
60,6/32022,1:00 PM,68,52,20,Mostly Cloudy
61,6/32022,2:00 PM,70,49,25,Mostly Cloudy / Windy
