,date,time,temp,hum,wind,condition
0,1/92022,12:00 AM,75,100,21,Fair / Windy
1,1/92022,1:00 AM,75,94,17,Fair
2,1/92022,2:00 AM,73,94,13,Fair
3,1/92022,3:00 AM,73,94,13,Fair
4,1/92022,4:00 AM,72,100,13,Partly Cloudy
5,1/92022,5:00 AM,72,100,8,Fog
6,1/92022,6:00 AM,70,100,14,Fog
7,1/92022,7:00 AM,70,100,13,Fog
8,1/92022,8:00 AM,70,100,9,Fog
9,1/92022,8:20 AM,72,100,13,Mostly Cloudy
10,1/92022,9:00 AM,73,100,14,Mostly Cloudy
11,1/92022,10:00 AM,75,100,15,Mostly Cloudy
12,1/92022,10:10 AM,75,100,13,Mostly Cloudy
13,1/92022,11:00 AM,81,94,13,Fair
14,1/92022,12:00 PM,82,79,14,Fair
15,1/92022,1:00 PM,88,55,15,Fair
16,1/92022,2:00 PM,88,55,20,Fair
17,1/92022,3:00 PM,88,55,18,Fair
18,1/92022,4:00 PM,90,49,21,Fair / Windy
19,1/92022,5:00 PM,86,58,23,Fair / Windy
20,1/92022,6:00 PM,86,55,26,Fair / Windy
21,1/92022,6:47 PM,84,51,29,Sand / Windy
22,1/92022,7:00 PM,84,51,29,Sand / Windy
23,1/92022,8:00 PM,81,58,26,Fair / Windy
24,2/92022,12:00 AM,73,83,21,Fair / Windy
25,2/92022,1:00 AM,73,100,23,Fair / Windy
26,2/92022,2:00 AM,73,100,22,Fair / Windy
27,2/92022,3:00 AM,72,100,18,Fair
28,2/92022,4:00 AM,72,100,17,Fair
29,2/92022,5:00 AM,72,100,13,Fair
30,2/92022,6:00 AM,72,100,13,Fair
31,2/92022,7:00 AM,70,100,13,Fair
32,2/92022,8:00 AM,70,100,13,Fair
33,2/92022,9:00 AM,73,100,17,Fair
34,2/92022,10:00 AM,77,94,21,Fair / Windy
35,2/92022,11:00 AM,82,54,17,Fair
36,2/92022,12:00 PM,90,38,18,Fair
37,2/92022,1:00 PM,93,32,23,Fair / Windy
38,2/92022,1:23 PM,93,38,21,Fair / Windy
39,2/92022,2:00 PM,88,52,18,Fair
40,2/92022,3:00 PM,90,49,20,Fair
41,2/92022,4:00 PM,90,49,20,Fair
42,2/92022,5:00 PM,84,66,22,Fair / Windy
43,2/92022,6:00 PM,84,66,22,Fair / Windy
44,2/92022,7:00 PM,82,70,20,Fair
45,2/92022,8:00 PM,79,83,20,Fair
46,2/92022,9:00 PM,77,83,18,Fair
47,2/92022,10:00 PM,75,100,21,Fair / Windy
48,3/92022,12:00 AM,73,100,17,Fair
49,3/92022,1:00 AM,73,100,15,Fair
50,3/92022,2:00 AM,72,100,15,Fair
51,3/92022,3:00 AM,72,100,18,Fair
52,3/92022,4:00 AM,72,100,16,Fair
53,3/92022,5:00 AM,72,100,16,Fair
54,3/92022,6:00 AM,72,100,14,Fair
55,3/92022,7:00 AM,72,100,17,Mostly Cloudy
56,3/92022,8:00 AM,72,100,14,Mostly Cloudy
57,3/92022,9:00 AM,73,100,18,Mostly Cloudy
58,3/92022,10:00 AM,75,100,20,Partly Cloudy
59,3/92022,11:00 AM,79,89,21,Fair / Windy
60,3/92022,12:00 PM,82,62,21,Fair / Windy
61,3/92022,1:00 PM,86,48,20,Fair
62,3/92022,2:00 PM,88,43,18,Fair
63,3/92022,3:00 PM,90,40,16,Fair
64,3/92022,4:00 PM,90,40,20,Fair
65,3/92022,5:00 PM,88,43,22,Fair / Windy
66,3/92022,6:00 PM,86,45,22,Fair / Windy
67,3/92022,7:00 PM,82,54,20,Fair
68,3/92022,8:00 PM,79,74,18,Fair
69,3/92022,9:00 PM,75,78,18,Fair
70,3/92022,10:00 PM,75,83,17,Fair
71,3/92022,11:00 PM,73,100,15,Mostly Cloudy
72,4/92022,12:00 AM,73,100,17,Partly Cloudy
73,4/92022,1:00 AM,73,100,18,Fair
74,4/92022,2:00 AM,72,100,12,Fair
75,4/92022,3:00 AM,72,100,14,Fair
76,4/92022,4:00 AM,72,100,14,Mostly Cloudy
77,4/92022,5:00 AM,70,100,13,Mostly Cloudy
78,4/92022,6:00 AM,70,100,12,Mostly Cloudy
79,4/92022,7:00 AM,70,100,13,Mostly Cloudy
80,4/92022,8:00 AM,70,100,15,Mostly Cloudy
81,4/92022,9:00 AM,72,100,16,Partly Cloudy
82,4/92022,10:00 AM,75,100,20,Mostly Cloudy
83,4/92022,11:00 AM,77,89,20,Mostly Cloudy
84,4/92022,12:00 PM,81,61,21,Partly Cloudy / Windy
85,4/92022,1:00 PM,82,54,18,Fair
86,4/92022,2:00 PM,86,43,17,Fair
87,4/92022,3:00 PM,88,38,18,Fair
88,4/92022,4:00 PM,88,40,18,Fair
89,4/92022,5:00 PM,88,38,21,Fair / Windy
