ind,date,time,temp,hum,wind,condition
1122,9/1/2022,12:00 AM,75,100,21,Fair / Windy
1123,9/1/2022,1:00 AM,75,94,17,Fair
1124,9/1/2022,2:00 AM,73,94,13,Fair
1125,9/1/2022,3:00 AM,73,94,13,Fair
1126,9/1/2022,4:00 AM,72,100,13,Partly Cloudy
1127,9/1/2022,5:00 AM,72,100,8,Fog
1128,9/1/2022,6:00 AM,70,100,14,Fog
1129,9/1/2022,7:00 AM,70,100,13,Fog
1130,9/1/2022,8:00 AM,70,100,9,Fog
1131,9/1/2022,8:20 AM,72,100,13,Mostly Cloudy
1132,9/1/2022,9:00 AM,73,100,14,Mostly Cloudy
1133,9/1/2022,10:00 AM,75,100,15,Mostly Cloudy
1134,9/1/2022,10:10 AM,75,100,13,Mostly Cloudy
1135,9/1/2022,11:00 AM,81,94,13,Fair
1136,9/1/2022,12:00 PM,82,79,14,Fair
1137,9/1/2022,1:00 PM,88,55,15,Fair
1138,9/1/2022,2:00 PM,88,55,20,Fair
1139,9/1/2022,3:00 PM,88,55,18,Fair
1140,9/1/2022,4:00 PM,90,49,21,Fair / Windy
1141,9/1/2022,5:00 PM,86,58,23,Fair / Windy
1142,9/1/2022,6:00 PM,86,55,26,Fair / Windy
1143,9/1/2022,6:47 PM,84,51,29,Sand / Windy
1144,9/1/2022,7:00 PM,84,51,29,Sand / Windy
1145,9/1/2022,8:00 PM,81,58,26,Fair / Windy
1146,9/1/2022,9:00 PM,79,54,25,Fair / Windy
1147,9/1/2022,10:00 PM,75,73,21,Fair / Windy
1148,9/1/2022,11:00 PM,75,73,22,Fair / Windy
1149,9/2/2022,12:00 AM,73,83,21,Fair / Windy
1150,9/2/2022,1:00 AM,73,100,23,Fair / Windy
1151,9/2/2022,2:00 AM,73,100,22,Fair / Windy
1152,9/2/2022,3:00 AM,72,100,18,Fair
1153,9/2/2022,4:00 AM,72,100,17,Fair
1154,9/2/2022,5:00 AM,72,100,13,Fair
1155,9/2/2022,6:00 AM,72,100,13,Fair
1156,9/2/2022,7:00 AM,70,100,13,Fair
1157,9/2/2022,8:00 AM,70,100,13,Fair
1158,9/2/2022,9:00 AM,73,100,17,Fair
1159,9/2/2022,10:00 AM,77,94,21,Fair / Windy
