ind,date,time,temp,hum,wind,condition
1807,11/1/2022,12:00 AM,70,68,5,Fair
1808,11/1/2022,1:00 AM,68,94,8,Fair
1809,11/1/2022,2:00 AM,68,100,7,Fair
1810,11/1/2022,3:00 AM,66,100,9,Fair
1811,11/1/2022,4:00 AM,66,100,9,Fair
1812,11/1/2022,5:00 AM,64,100,14,Fog
1813,11/1/2022,6:00 AM,64,100,13,Fog
1814,11/1/2022,7:00 AM,64,100,14,Fog
1815,11/1/2022,8:00 AM,64,100,8,Fog
1816,11/1/2022,8:10 AM,64,100,10,Fog
1817,11/1/2022,9:00 AM,64,100,10,Fog
1818,11/1/2022,9:20 AM,64,100,10,Fog
1819,11/1/2022,9:35 AM,66,100,10,Fog
1820,11/1/2022,9:50 AM,68,100,9,Partly Cloudy
1821,11/1/2022,10:00 AM,68,100,10,Partly Cloudy
1822,11/1/2022,11:00 AM,73,100,10,Fair
1823,11/1/2022,12:00 PM,82,39,8,Fair
1824,11/1/2022,1:00 PM,86,20,6,Fair
1825,11/1/2022,2:00 PM,90,15,6,Fair
1826,11/1/2022,3:00 PM,91,13,7,Fair
1827,11/1/2022,4:00 PM,93,12,5,Fair
1828,11/1/2022,5:00 PM,90,33,15,Fair
1829,11/1/2022,7:00 PM,84,37,15,Fair
1830,11/1/2022,8:00 PM,79,51,16,Fair
1831,11/1/2022,9:00 PM,73,83,20,Fair
1832,11/1/2022,10:00 PM,72,100,16,Fair
1833,11/1/2022,11:00 PM,70,100,13,Fair
1834,11/2/2022,12:00 AM,68,100,15,Fair
1835,11/2/2022,1:00 AM,66,100,12,Partly Cloudy
1836,11/2/2022,2:00 AM,66,100,12,Partly Cloudy
1837,11/2/2022,3:00 AM,64,100,9,Partly Cloudy
1838,11/2/2022,4:00 AM,64,100,6,Partly Cloudy
1839,11/2/2022,5:00 AM,63,100,7,Fog
1840,11/2/2022,6:00 AM,61,100,8,Fog
1841,11/2/2022,7:00 AM,61,100,9,Fog
1842,11/2/2022,8:00 AM,59,100,9,Fog
1843,11/2/2022,9:00 AM,59,100,10,Fog
1844,11/2/2022,9:40 AM,61,100,13,Fog
1845,11/2/2022,10:00 AM,61,100,13,Fair
1846,11/2/2022,11:00 AM,70,100,13,Fair
1847,11/2/2022,12:00 PM,77,47,10,Fair
1848,11/2/2022,1:00 PM,82,32,7,Fair
1849,11/2/2022,2:00 PM,88,24,6,Fair
1850,11/2/2022,3:00 PM,90,18,5,Fair
1851,11/2/2022,4:00 PM,91,15,3,Fair
1852,11/2/2022,5:00 PM,91,14,6,Fair
1853,11/2/2022,6:00 PM,86,45,10,Fair
1854,11/2/2022,7:00 PM,84,37,15,Fair
1855,11/2/2022,8:00 PM,75,83,15,Fair
1856,11/2/2022,9:00 PM,75,83,15,Fair
1857,11/2/2022,10:00 PM,70,100,16,Fair
1858,11/2/2022,11:00 PM,68,100,15,Fair
1859,11/3/2022,12:00 AM,68,100,12,Fair
1860,11/3/2022,1:00 AM,66,100,13,Fair
1861,11/3/2022,3:00 AM,66,100,12,Fair
1862,11/3/2022,4:00 AM,66,100,12,Fair
1863,11/3/2022,5:00 AM,64,100,10,Partly Cloudy
1864,11/3/2022,6:00 AM,63,100,10,Partly Cloudy
1865,11/3/2022,6:40 AM,64,100,10,Fog
1866,11/3/2022,6:50 AM,64,100,12,Fog
1867,11/3/2022,7:00 AM,63,100,13,Fog
1868,11/3/2022,8:00 AM,63,100,13,Fog
1869,11/3/2022,9:00 AM,63,100,13,Fog
1870,11/3/2022,10:00 AM,66,100,15,Fair
1871,11/3/2022,11:00 AM,72,100,14,Fair
1872,11/3/2022,12:00 PM,77,65,14,Fair
1873,11/3/2022,1:00 PM,81,42,15,Fair
1874,11/3/2022,2:00 PM,84,37,14,Fair
1875,11/3/2022,3:00 PM,86,31,15,Fair
1876,11/3/2022,4:00 PM,86,29,16,Fair
1877,11/3/2022,5:00 PM,86,31,17,Fair
1878,11/3/2022,6:00 PM,84,37,17,Fair
1879,11/3/2022,7:00 PM,79,54,18,Fair
1880,11/3/2022,8:00 PM,73,83,20,Fair
1881,11/3/2022,9:00 PM,70,100,22,Fair / Windy
1882,11/3/2022,10:00 PM,68,100,22,Fair / Windy
1883,11/3/2022,11:00 PM,66,100,20,Partly Cloudy
72,11/4/2022,12:00 AM,68.0,100.0,17.0,Mostly Cloudy
73,11/4/2022,1:00 AM,68.0,100.0,14.0,Mostly Cloudy
74,11/4/2022,2:00 AM,68.0,100.0,16.0,Mostly Cloudy
75,11/4/2022,3:00 AM,68.0,100.0,16.0,Mostly Cloudy
76,11/4/2022,4:00 AM,68.0,100.0,17.0,Mostly Cloudy
77,11/4/2022,5:00 AM,68.0,100.0,21.0,Mostly Cloudy / Windy
78,11/4/2022,2:00 PM,81.0,51.0,16.0,Fair
79,11/4/2022,3:00 PM,82.0,45.0,16.0,Fair
80,11/4/2022,4:00 PM,82.0,42.0,16.0,Fair
81,11/4/2022,5:00 PM,82.0,42.0,18.0,Fair
82,11/4/2022,6:00 PM,79.0,51.0,18.0,Fair
83,11/4/2022,7:00 PM,75.0,61.0,18.0,Fair
84,11/4/2022,8:00 PM,72.0,78.0,17.0,Fair
85,11/4/2022,9:00 PM,70.0,100.0,17.0,Fair
86,11/4/2022,10:00 PM,68.0,100.0,16.0,Fair
87,11/4/2022,11:00 PM,68.0,100.0,16.0,Fair
88,11/5/2022,12:00 AM,68.0,100.0,13.0,Fair
89,11/5/2022,1:00 AM,66.0,100.0,12.0,Fair
90,11/5/2022,2:00 AM,66.0,100.0,10.0,Fair
91,11/5/2022,3:00 AM,64.0,100.0,9.0,Fair
92,11/5/2022,4:00 AM,63.0,100.0,7.0,Fair
93,11/5/2022,5:00 AM,63.0,100.0,8.0,Fair
94,11/5/2022,6:00 AM,63.0,100.0,8.0,Fair
95,11/5/2022,7:00 AM,64.0,100.0,10.0,Fair
96,11/5/2022,8:00 AM,63.0,100.0,10.0,Fair
97,11/5/2022,9:00 AM,64.0,100.0,9.0,Partly Cloudy
98,11/5/2022,10:00 AM,68.0,100.0,12.0,Fair
99,11/5/2022,11:00 AM,72.0,100.0,17.0,Mostly Cloudy
100,11/5/2022,12:00 PM,75.0,89.0,16.0,Fair
101,11/5/2022,1:00 PM,77.0,61.0,14.0,Fair
102,11/5/2022,2:00 PM,79.0,51.0,13.0,Fair
103,11/5/2022,3:00 PM,82.0,39.0,13.0,Fair
104,11/5/2022,4:00 PM,82.0,39.0,12.0,Fair
105,11/5/2022,5:00 PM,82.0,42.0,15.0,Fair
106,11/5/2022,6:00 PM,81.0,48.0,16.0,Fair
107,11/5/2022,7:00 PM,77.0,57.0,16.0,Partly Cloudy
