ind,date,time,temp,hum,wind,condition
0,5/1/2022,3:00 AM,64,94,12,Partly Cloudy
1,5/1/2022,4:00 AM,64,94,9,Partly Cloudy
2,5/1/2022,5:00 AM,63,94,12,Mostly Cloudy
3,5/1/2022,6:00 AM,63,94,15,Mostly Cloudy
4,5/1/2022,7:00 AM,63,94,15,Mostly Cloudy
5,5/1/2022,8:00 AM,63,94,14,Mostly Cloudy
6,5/1/2022,9:00 AM,64,94,16,Partly Cloudy
7,5/1/2022,10:00 AM,68,94,17,Fair
8,5/1/2022,11:00 AM,73,73,16,Fair
9,5/1/2022,12:00 PM,77,50,15,Fair
10,5/1/2022,1:00 PM,82,39,14,Fair
11,5/1/2022,4:00 PM,82,45,21,Fair / Windy
12,5/1/2022,5:00 PM,82,42,21,Fair / Windy
13,5/1/2022,6:00 PM,79,44,23,Fair / Windy
14,5/1/2022,7:00 PM,75,47,22,Fair / Windy
15,5/1/2022,8:00 PM,73,57,21,Fair / Windy
16,5/1/2022,9:00 PM,68,78,23,Fair / Windy
17,5/1/2022,10:00 PM,66,100,24,Fair / Windy
18,5/1/2022,11:00 PM,64,100,23,Fair / Windy
19,5/1/2022,12:00 AM,64,100,18,Fair
20,5/2/2022,1:00 AM,63,100,20,Fair
21,5/2/2022,2:00 AM,63,100,20,Fair
22,5/2/2022,3:00 AM,63,100,18,Partly Cloudy
23,5/2/2022,4:00 AM,63,100,20,Mostly Cloudy
24,5/2/2022,5:00 AM,63,100,17,Fair
25,5/2/2022,6:00 AM,61,100,15,Partly Cloudy
26,5/2/2022,7:00 AM,63,100,17,Mostly Cloudy
27,5/2/2022,8:00 AM,63,100,21,Mostly Cloudy / Windy
28,5/2/2022,9:00 AM,64,94,22,Mostly Cloudy / Windy
29,5/2/2022,10:00 AM,68,83,20,Fair
30,5/2/2022,11:00 AM,72,64,21,Fair / Windy
31,5/2/2022,12:00 PM,75,50,21,Fair / Windy
32,5/2/2022,1:00 PM,77,44,24,Fair / Windy
33,5/2/2022,2:00 PM,79,42,23,Fair / Windy
34,5/2/2022,3:00 PM,81,39,23,Fair / Windy
35,5/2/2022,4:00 PM,81,37,24,Fair / Windy
36,5/2/2022,5:00 PM,79,39,24,Fair / Windy
37,5/2/2022,6:00 PM,75,47,24,Fair / Windy
38,5/2/2022,7:00 PM,73,53,15,Fair
39,5/2/2022,8:00 PM,68,68,22,Fair / Windy
40,5/2/2022,9:00 PM,64,88,21,Mostly Cloudy / Windy
41,5/2/2022,10:00 PM,64,88,21,Mostly Cloudy / Windy
42,5/2/2022,11:00 PM,64,83,18,Mostly Cloudy
43,5/2/2022,12:00 AM,64,83,18,Mostly Cloudy
44,5/3/2022,1:00 AM,82,45,23,Fair / Windy
45,5/3/2022,2:00 AM,64,83,21,Mostly Cloudy / Windy
46,5/3/2022,3:00 AM,64,77,16,Mostly Cloudy
47,5/3/2022,4:00 AM,63,82,18,Mostly Cloudy
48,5/3/2022,6:00 AM,64,68,20,Mostly Cloudy
49,5/3/2022,7:00 AM,64,73,22,Mostly Cloudy / Windy
50,5/3/2022,8:00 AM,64,68,21,Mostly Cloudy / Windy
51,5/3/2022,9:00 AM,66,64,21,Mostly Cloudy / Windy
52,5/3/2022,10:00 AM,68,60,23,Mostly Cloudy / Windy
53,5/3/2022,11:00 AM,70,56,22,Mostly Cloudy / Windy
54,5/3/2022,12:00 PM,73,47,15,Mostly Cloudy
55,5/3/2022,1:00 PM,73,47,21,Mostly Cloudy / Windy
56,5/3/2022,2:00 PM,75,44,18,Mostly Cloudy
57,5/3/2022,3:00 PM,75,38,22,Fair / Windy
58,5/3/2022,4:00 PM,75,38,22,Fair / Windy
59,5/3/2022,5:00 PM,75,41,20,Fair
60,5/3/2022,6:00 PM,73,47,23,Fair / Windy
61,5/3/2022,7:00 PM,70,56,22,Partly Cloudy / Windy
62,5/3/2022,8:00 PM,68,64,22,Partly Cloudy / Windy
63,5/3/2022,9:00 PM,64,83,21,Partly Cloudy / Windy
64,5/3/2022,10:00 PM,64,88,16,Fair
65,5/3/2022,11:00 PM,63,100,16,Fair
66,5/3/2022,12:00 AM,63,100,13,Fair
67,5/4/2022,1:00 AM,63,100,14,Fair
68,5/4/2022,2:00 AM,61,100,10,Fair
69,5/4/2022,3:00 AM,61,100,14,Fair
70,5/4/2022,4:00 AM,59,100,13,Fair
71,5/4/2022,5:00 AM,59,100,12,Fair
72,5/4/2022,6:00 AM,61,100,12,Mostly Cloudy
73,5/4/2022,7:00 AM,61,100,10,Mostly Cloudy
74,5/4/2022,8:00 AM,61,100,12,Mostly Cloudy
75,5/4/2022,9:00 AM,64,83,14,Partly Cloudy
76,5/4/2022,10:00 AM,68,60,18,Partly Cloudy
77,5/4/2022,11:00 AM,70,43,22,Fair / Windy
78,5/4/2022,12:00 PM,72,41,20,Fair
79,5/4/2022,1:00 PM,73,38,18,Fair
80,5/4/2022,2:00 PM,75,41,20,Partly Cloudy
81,5/4/2022,3:00 PM,77,39,21,Partly Cloudy / Windy
82,5/4/2022,4:00 PM,77,36,23,Fair / Windy
83,5/4/2022,5:00 PM,73,50,21,Fair / Windy
84,5/4/2022,6:00 PM,73,50,20,Fair
85,5/4/2022,7:00 PM,72,50,21,Partly Cloudy / Windy
86,5/4/2022,8:00 PM,70,56,20,Mostly Cloudy
87,5/4/2022,9:00 PM,66,73,22,Mostly Cloudy / Windy
88,5/4/2022,10:00 PM,64,77,17,Mostly Cloudy
89,5/4/2022,11:00 PM,63,88,15,Partly Cloudy
90,5/4/2022,12:00 AM,63,88,14,Partly Cloudy
688,5/5/2022,12:00 AM,63,88,12,Fair
689,5/5/2022,1:00 AM,61,100,10,Fair
690,5/5/2022,2:00 AM,61,100,8,Fair
691,5/5/2022,3:00 AM,61,100,8,Partly Cloudy
692,5/5/2022,4:00 AM,61,100,7,Mostly Cloudy
693,5/5/2022,5:00 AM,61,100,7,Mostly Cloudy
694,5/5/2022,6:00 AM,63,88,10,Mostly Cloudy
695,5/5/2022,7:00 AM,63,88,9,Mostly Cloudy
696,5/5/2022,8:00 AM,66,83,17,Mostly Cloudy
697,5/5/2022,9:00 AM,68,64,18,Mostly Cloudy
698,5/5/2022,10:00 AM,70,56,18,Mostly Cloudy
699,5/5/2022,10:10 AM,70,56,18,Mostly Cloudy
700,5/5/2022,11:00 AM,73,50,17,Fair
701,5/5/2022,12:00 PM,75,44,18,Fair
702,5/5/2022,12:25 PM,75,44,18,Fair
703,5/5/2022,1:00 PM,77,41,17,Fair
704,5/5/2022,2:00 PM,77,44,18,Fair
705,5/5/2022,3:00 PM,79,39,20,Fair
706,5/5/2022,4:00 PM,77,44,20,Fair
707,5/5/2022,5:00 PM,75,50,21,Fair / Windy
708,5/5/2022,6:00 PM,73,57,21,Fair / Windy
709,5/5/2022,7:00 PM,70,68,18,Fair
710,5/5/2022,8:00 PM,66,88,16,Fair
711,5/5/2022,9:00 PM,64,100,16,Fair
712,5/5/2022,10:00 PM,64,100,15,Mostly Cloudy
713,5/5/2022,11:00 PM,64,100,14,Mostly Cloudy
115,5/6/2022,1:00 AM,0,0,17,Cloudy
116,5/6/2022,2:00 AM,64,100,16,Cloudy
117,5/6/2022,3:00 AM,64,100,14,Cloudy
118,5/6/2022,4:00 AM,64,100,14,Cloudy
119,5/6/2022,5:00 AM,64,94,15,Cloudy
120,5/6/2022,6:00 AM,64,94,12,Cloudy
121,5/6/2022,7:00 AM,64,100,12,Cloudy
122,5/6/2022,8:00 AM,64,94,13,Cloudy
123,5/6/2022,9:00 AM,66,88,15,Cloudy
124,5/6/2022,10:00 AM,68,88,15,Cloudy
125,5/6/2022,11:00 AM,70,83,13,Mostly Cloudy
126,5/6/2022,12:00 PM,73,73,13,Fair
