ind,date,time,temp,hum,wind,condition
0,8/1/2022,12:00 AM,73.0,100.0,23.0,Mostly Cloudy / Windy
1,8/1/2022,1:00 AM,72.0,100.0,23.0,Mostly Cloudy / Windy
2,8/1/2022,2:00 AM,72.0,100.0,23.0,Mostly Cloudy / Windy
3,8/1/2022,3:00 AM,72.0,100.0,21.0,Mostly Cloudy / Windy
4,8/1/2022,5:00 AM,72.0,100.0,17.0,Cloudy
5,8/1/2022,6:00 AM,72.0,100.0,17.0,Cloudy
6,8/1/2022,7:00 AM,72.0,100.0,12.0,Cloudy
7,8/1/2022,8:00 AM,70.0,100.0,16.0,Cloudy
8,8/1/2022,9:00 AM,72.0,100.0,17.0,Cloudy
9,8/1/2022,10:00 AM,73.0,100.0,22.0,Cloudy / Windy
10,8/1/2022,11:00 AM,75.0,100.0,21.0,Mostly Cloudy / Windy
11,8/1/2022,12:00 PM,79.0,94.0,22.0,Mostly Cloudy / Windy
12,8/1/2022,1:00 PM,82.0,79.0,18.0,Fair
13,8/1/2022,2:00 PM,84.0,70.0,25.0,Fair / Windy
14,8/1/2022,3:00 PM,86.0,62.0,22.0,Fair / Windy
15,8/1/2022,4:00 PM,86.0,62.0,25.0,Fair / Windy
16,8/1/2022,5:00 PM,86.0,58.0,23.0,Fair / Windy
17,8/1/2022,6:00 PM,84.0,62.0,21.0,Fair / Windy
18,8/1/2022,7:00 PM,81.0,65.0,22.0,Fair / Windy
19,8/1/2022,8:00 PM,77.0,78.0,21.0,Partly Cloudy / Windy
20,8/1/2022,9:00 PM,75.0,100.0,22.0,Cloudy / Windy
21,8/1/2022,10:00 PM,73.0,100.0,21.0,Mostly Cloudy / Windy
22,8/1/2022,11:00 PM,73.0,100.0,24.0,Mostly Cloudy / Windy
23,8/2/2022,12:00 AM,73.0,100.0,21.0,Mostly Cloudy / Windy
24,8/2/2022,1:00 AM,73.0,100.0,25.0,Mostly Cloudy / Windy
25,8/2/2022,2:00 AM,73.0,100.0,18.0,Mostly Cloudy
26,8/2/2022,3:00 AM,73.0,100.0,20.0,Mostly Cloudy
27,8/2/2022,4:00 AM,72.0,100.0,20.0,Mostly Cloudy
28,8/2/2022,5:00 AM,73.0,100.0,14.0,Mostly Cloudy
29,8/2/2022,6:00 AM,0.0,0.0,15.0,Mostly Cloudy
30,8/2/2022,7:00 AM,72.0,100.0,20.0,Mostly Cloudy
31,8/2/2022,8:00 AM,72.0,100.0,22.0,Cloudy / Windy
32,8/2/2022,9:00 AM,72.0,100.0,22.0,Cloudy / Windy
33,8/2/2022,10:00 AM,73.0,100.0,22.0,Cloudy / Windy
34,8/2/2022,11:00 AM,77.0,100.0,20.0,Mostly Cloudy
35,8/2/2022,12:00 PM,82.0,89.0,24.0,Fair / Windy
36,8/2/2022,1:00 PM,84.0,79.0,21.0,Fair / Windy
37,8/2/2022,2:00 PM,90.0,55.0,20.0,Fair
38,8/2/2022,3:00 PM,93.0,46.0,22.0,Fair / Windy
39,8/2/2022,4:00 PM,90.0,49.0,22.0,Fair / Windy
40,8/2/2022,5:00 PM,88.0,58.0,25.0,Fair / Windy
41,8/2/2022,6:00 PM,86.0,66.0,25.0,Fair / Windy
42,8/2/2022,7:00 PM,81.0,79.0,26.0,Fair / Windy
43,8/2/2022,8:00 PM,77.0,100.0,20.0,Partly Cloudy
44,8/2/2022,9:00 PM,75.0,100.0,28.0,Mostly Cloudy / Windy
45,8/2/2022,9:15 PM,73.0,100.0,29.0,Fog / Windy
46,8/2/2022,10:00 PM,73.0,100.0,31.0,Fog / Windy
46,8/2/2022,11:00 PM,73.0,100.0,31.0,Fog / Windy
992,8/3/2022,12:00 AM,73,100,31,Fog / Windy
993,8/3/2022,1:00 AM,72,100,29,Fog / Windy
994,8/3/2022,2:00 AM,73,100,30,Fog / Windy
995,8/3/2022,3:00 AM,72,100,24,Fog / Windy
996,8/3/2022,4:00 AM,72,100,28,Fog / Windy
997,8/3/2022,5:00 AM,72,100,24,Fog / Windy
998,8/3/2022,6:00 AM,72,100,26,Fog / Windy
999,8/3/2022,7:00 AM,72,100,13,Fog
1000,8/3/2022,8:00 AM,72,100,23,Mostly Cloudy / Windy
1001,8/3/2022,9:00 AM,73,100,15,Mostly Cloudy
1002,8/3/2022,10:00 AM,75,100,22,Mostly Cloudy / Windy
1003,8/3/2022,11:00 AM,79,94,20,Partly Cloudy
1004,8/3/2022,12:00 PM,82,79,28,Fair / Windy
1005,8/3/2022,1:00 PM,86,66,25,Fair / Windy
1006,8/3/2022,2:00 PM,88,55,22,Fair / Windy
1007,8/3/2022,3:00 PM,91,46,22,Fair / Windy
1008,8/3/2022,4:00 PM,91,43,30,Fair / Windy
1009,8/3/2022,5:00 PM,90,43,30,Fair / Windy
1010,8/3/2022,6:00 PM,88,46,31,Sand / Windy
1011,8/3/2022,7:00 PM,84,58,33,Sand / Windy
1012,8/3/2022,7:22 PM,81,70,33,Sand / Windy
1013,8/3/2022,7:32 PM,81,70,33,Sand / Windy
1014,8/3/2022,8:00 PM,79,78,35,Sand / Windy
1015,8/3/2022,8:45 PM,75,89,29,Sand / Windy
1016,8/3/2022,9:00 PM,75,100,31,Sand / Windy
1017,8/3/2022,9:30 PM,73,100,31,Sand / Windy
1018,8/3/2022,10:00 PM,0,0,32,Sand / Windy
1019,8/3/2022,11:00 PM,72,100,33,Sand / Windy
71,8/4/2022,12:00 AM,72.0,100.0,32.0,Sand / Windy
72,8/4/2022,1:00 AM,72.0,100.0,32.0,Mostly Cloudy / Windy
73,8/4/2022,2:00 AM,72.0,100.0,29.0,Mostly Cloudy / Windy
74,8/4/2022,3:00 AM,70.0,100.0,31.0,Partly Cloudy / Windy
75,8/4/2022,4:00 AM,70.0,100.0,31.0,Partly Cloudy / Windy
76,8/4/2022,5:00 AM,70.0,100.0,21.0,Mostly Cloudy / Windy
77,8/4/2022,6:00 AM,70.0,100.0,22.0,Cloudy / Windy
78,8/4/2022,7:00 AM,70.0,100.0,18.0,Cloudy
79,8/4/2022,8:00 AM,70.0,100.0,24.0,Mostly Cloudy / Windy
80,8/4/2022,9:00 AM,72.0,100.0,31.0,Mostly Cloudy / Windy
81,8/4/2022,9:42 AM,75.0,100.0,30.0,Partly Cloudy / Windy
82,8/4/2022,10:00 AM,73.0,100.0,23.0,Sand / Windy
83,8/4/2022,10:33 AM,75.0,100.0,23.0,Partly Cloudy / Windy
84,8/4/2022,11:00 AM,77.0,94.0,21.0,Partly Cloudy / Windy
85,8/4/2022,12:00 PM,81.0,79.0,25.0,Partly Cloudy / Windy
86,8/4/2022,1:00 PM,84.0,58.0,23.0,Fair / Windy
87,8/4/2022,2:00 PM,86.0,51.0,26.0,Sand / Windy
88,8/4/2022,3:00 PM,88.0,46.0,28.0,Sand / Windy
89,8/4/2022,4:00 PM,88.0,46.0,30.0,Sand / Windy
90,8/4/2022,5:00 PM,88.0,46.0,30.0,Sand / Windy
91,8/4/2022,6:00 PM,82.0,58.0,31.0,Sand / Windy
92,8/4/2022,7:00 PM,81.0,61.0,33.0,Sand / Windy
93,8/4/2022,8:00 PM,75.0,69.0,29.0,Haze / Windy
94,8/4/2022,9:00 PM,73.0,88.0,29.0,Sand / Windy
